                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2255,                 3.6881,                 1.3344,                0.00329,                0.98765,                0.43191,                0.31474,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.90811,                   2.29,                 1.0498,                      1,                0.36987,                0.93889,                 0.7411,                      0,                    inf,                      0,               0.068465,              0.0034654,              0.0034654
                      2,                0.94721,                 1.5348,                 1.0507,                      1,                0.15857,                0.94474,                0.76318,                      0,                    inf,                      0,               0.052195,              0.0051951,              0.0051951
                      3,                0.94593,                 1.3162,                 1.0394,                 0.9635,                 0.6518,                0.90546,                0.55552,                      0,                    inf,                      0,               0.035889,              0.0068891,              0.0068891
                      4,                 1.0208,                 1.2235,                 1.1053,                0.94407,                0.83356,                0.95205,                0.69135,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      5,                 1.0117,                 1.2758,                 1.1056,                 0.9138,                0.91358,                0.96009,                 0.7133,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                 1.0645,                 1.1979,                 1.1265,                0.88875,                0.88762,                0.92983,                 0.7101,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.0318,                 1.1329,                 1.1138,                0.75651,                0.76543,                0.76797,                0.57947,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.97826,                 1.0475,                 1.0901,                0.94593,                0.86401,                0.95429,                0.69835,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.0378,                 1.1394,                 1.1225,                0.90529,                0.87654,                0.94152,                0.71816,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.94273,                0.98717,                 1.0879,                0.92747,                0.92593,                0.97674,                0.77241,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.97915,                0.99101,                 1.1078,                0.92841,                 0.9606,                0.97468,                0.77482,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.0074,                0.94305,                  1.107,                0.87054,                0.91317,                 0.9433,                0.68134,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.93943,                0.91828,                 1.0787,                0.94392,                0.91358,                0.95732,                0.71989,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.96865,                0.90098,                 1.0787,                0.84786,                0.85185,                0.83812,                0.59643,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.92483,                0.85185,                 1.0438,                0.93968,                0.96168,                 0.9706,                0.73789,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.90036,                0.83654,                 1.0661,                0.95278,                0.93827,                0.97557,                0.73669,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.93157,                0.85987,                 1.0761,                0.96789,                0.87654,                0.96056,                0.71183,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.97706,                0.84031,                 1.0884,                0.91227,                0.89862,                0.92671,                0.71141,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 0.8877,                0.81424,                 1.0384,                0.92241,                0.95062,                0.95925,                0.73105,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.97005,                0.88658,                 1.0716,                0.92461,                0.95062,                0.96619,                0.79166,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.86345,                0.76699,                 1.0427,                0.96309,                0.96648,                0.98207,                0.81373,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.92816,                0.79888,                 1.0852,                0.95113,                0.96118,                0.98213,                0.79224,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.87233,                0.73125,                 1.0523,                      1,                0.97508,                0.98388,                0.78992,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.85762,                0.73776,                 1.0319,                0.97208,                0.97531,                0.97367,                 0.7913,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 0.8837,                0.74609,                 1.0584,                0.96924,                0.97531,                0.98343,                 0.7904,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.87863,                0.72442,                 1.0393,                0.96375,                0.98478,                 0.9662,                0.77516,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 0.8355,                0.69081,                 1.0401,                0.97556,                0.98579,                0.98142,                0.75526,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.83643,                0.70629,                0.99954,                      1,                 0.9624,                0.98207,                0.78954,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 0.8363,                 0.6613,                 1.0172,                0.96345,                0.97641,                0.99084,                  0.787,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.84531,                0.65885,                 1.0417,                0.95978,                0.98765,                0.98321,                 0.7864,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.84051,                0.67092,                 1.0278,                0.97315,                0.98765,                0.98439,                0.80118,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 0.8375,                0.63364,                 1.0194,                0.98742,                0.96904,                0.98481,                0.80248,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.82344,                0.65335,                 1.0106,                0.95846,                0.95062,                0.97401,                 0.7721,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.83594,                 0.6571,                0.98681,                0.97479,                0.96296,                0.98315,                0.81423,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.82074,                0.63865,                 1.0065,                0.96364,                0.98174,                0.97962,                0.80917,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.82134,                0.61138,                 1.0133,                0.97519,                0.97055,                0.98443,                0.80484,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.83547,                0.65065,                 1.0241,                0.97294,                0.98765,                0.98419,                 0.8175,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 0.7942,                0.63427,                0.99548,                0.99334,                0.98765,                 0.9855,                0.81594,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.83348,                0.63525,                 1.0282,                0.98764,                0.98639,                0.98529,                 0.8144,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.79298,                0.60639,                 1.0092,                0.97619,                0.97531,                0.98482,                0.82336,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 0.7738,                0.59671,                0.99278,                      1,                0.98745,                0.98546,                0.82609,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.75984,                0.58867,                0.97826,                0.98255,                0.93827,                0.95716,                0.80756,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.76004,                0.59159,                 1.0045,                0.96108,                0.95062,                0.97819,                0.81511,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.81271,                0.60052,                 1.0119,                0.98379,                0.97531,                0.98203,                0.81351,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.80261,                0.58206,                 1.0193,                0.98556,                0.98765,                0.98507,                0.81014,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.75961,                0.56907,                0.97221,                0.98468,                0.98765,                0.98578,                0.79229,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.76437,                0.55662,                0.97521,                0.96073,                0.98765,                0.98393,                0.82288,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.76631,                0.55696,                0.99309,                 0.9756,                0.98714,                0.98493,                0.82585,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.73711,                0.54299,                0.98372,                 0.9876,                0.98342,                0.98562,                0.84121,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.71188,                0.53193,                 0.9742,                0.98643,                0.97531,                 0.9858,                0.82233,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.72506,                0.52571,                0.97685,                0.97532,                0.98765,                0.98612,                0.83405,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.72554,                0.53828,                0.98181,                 0.9736,                0.98765,                0.98535,                0.82984,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.73644,                0.53305,                0.97786,                      1,                0.98587,                0.98607,                0.81903,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.76099,                0.55806,                0.99168,                0.99674,                0.98765,                0.98598,                0.81861,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.69288,                0.49325,                0.95224,                0.99888,                0.98765,                0.98635,                0.82435,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.71768,                0.54407,                0.97339,                0.98655,                0.98765,                0.98598,                0.83136,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.72827,                0.52128,                0.97549,                0.99988,                0.97531,                0.98536,                0.82868,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.73156,                0.50909,                0.97782,                      1,                 0.9748,                0.98547,                0.83941,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.72592,                0.51779,                0.96673,                      1,                0.97221,                0.98554,                0.84984,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.70054,                0.51212,                0.94115,                0.99823,                0.97531,                0.98541,                0.84623,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.64712,                0.47516,                0.93933,                0.99861,                0.97531,                0.97636,                0.84601,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.67653,                0.47472,                0.95038,                0.99377,                0.97531,                0.97669,                0.82102,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.66387,                 0.4707,                0.94363,                      1,                0.97411,                0.97694,                0.82958,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.65857,                0.47612,                0.95861,                0.98438,                0.97531,                0.98552,                0.82943,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.64313,                0.46413,                0.95591,                0.98733,                0.98765,                0.98509,                0.83756,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.65848,                0.48471,                0.96745,                0.98522,                0.97531,                0.98414,                0.83905,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.64734,                0.46375,                 0.9498,                0.98652,                0.98765,                0.98485,                0.85463,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.64503,                0.48308,                0.95249,                0.97438,                0.98765,                0.98558,                0.83776,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.64865,                0.46613,                0.94685,                0.98591,                0.98765,                0.98527,                 0.8319,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.60866,                0.45481,                0.92885,                0.97381,                0.98765,                 0.9855,                0.84494,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.62646,                0.44798,                0.93665,                      1,                0.96096,                0.98556,                0.82832,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 0.6056,                0.44153,                0.91804,                0.98748,                0.97394,                0.98543,                0.83739,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.60563,                0.44406,                0.92959,                      1,                0.97479,                0.98579,                0.84432,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.64861,                0.44975,                0.93426,                0.98648,                0.98765,                0.98575,                0.83689,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.59351,                0.43941,                0.92062,                0.98548,                0.98765,                0.98585,                0.85569,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.61671,                0.45642,                0.93886,                0.98718,                0.98765,                0.98581,                 0.8555,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.58788,                0.41958,                0.91583,                0.98642,                0.98765,                0.98591,                0.84575,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 0.5752,                0.41417,                0.91911,                 0.9825,                0.98765,                0.98576,                0.85389,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.59092,                0.43121,                0.92693,                0.96362,                0.98114,                0.98542,                0.83668,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 0.6111,                0.41664,                0.90943,                0.97439,                0.98765,                0.98588,                0.83549,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.59916,                0.42204,                0.93956,                0.97441,                0.98765,                0.98626,                0.84097,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.56163,                0.41527,                0.91317,                0.97451,                0.98765,                0.98616,                0.84584,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.56762,                0.41753,                0.91446,                0.97439,                0.98765,                0.98619,                0.84464,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.55171,                0.39884,                0.90341,                0.97468,                0.98765,                0.98617,                0.85588,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.57416,                0.41732,                0.92324,                0.98499,                0.98765,                0.98664,                0.85575,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.52806,                0.38864,                0.89117,                 0.9863,                0.98765,                0.98681,                0.85031,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.54724,                0.39518,                0.89522,                0.98628,                0.98765,                 0.9867,                0.85011,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.57116,                0.41216,                0.91388,                0.99309,                0.98765,                0.98675,                0.85196,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.54447,                0.38765,                0.90117,                      1,                0.98553,                 0.9865,                0.85178,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.48977,                0.34976,                0.86005,                0.98509,                0.98765,                0.98639,                0.85502,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.48028,                0.34107,                0.86734,                0.97535,                0.98765,                0.98647,                0.85536,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.46957,                0.33767,                0.87084,                0.97467,                0.98765,                0.98625,                0.85795,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.45761,                0.33347,                0.85165,                  0.975,                0.98765,                0.98648,                 0.8555,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.47329,                0.33109,                0.85191,                0.97448,                0.98765,                0.98599,                0.85859,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.45177,                0.32936,                0.84426,                0.98616,                0.98765,                0.98614,                0.85465,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.44006,                0.33002,                0.84898,                0.98681,                0.98765,                0.98652,                0.85734,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.44811,                0.32194,                0.84381,                0.98709,                0.98765,                0.98708,                0.86409,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                 0.4456,                0.32218,                0.84655,                0.98706,                0.98765,                0.98704,                0.86215,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.45154,                0.31791,                0.83193,                0.98728,                0.98765,                0.98695,                0.86177,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
